"Probe Set ID","Species Scientific Name","Transcript ID(Array Design)","Representative Public ID","Gene Symbol"
"1775881_at","Schizosaccharomyces pombe","SPBC119.02","SPBC119.02.S1","---"
"1775882_at","Schizosaccharomyces pombe","SPBC2A9.05c","SPBC2A9.05c.S1","---"
"1775884_at","Saccharomyces cerevisiae","YLR084C","YLR084C.S1","RAX2"
"1775885_at","Schizosaccharomyces pombe","SPBC1347.03","SPBC1347.03.S1","---"
"1775886_at","Schizosaccharomyces pombe","SPCC1739.09c","SPCC1739.09c.S1","---"
"1775887_at","Saccharomyces cerevisiae","YPL098C","YPL098C.S1","MGR2"
"1775888_at","Schizosaccharomyces pombe","SPBC12C2.13c","SPBC12C2.13c.S1","---"
"1775889_at","Saccharomyces cerevisiae","YBR289W","YBR289W.S1","SNF5"
"1775890_at","Saccharomyces cerevisiae","YMR090W","YMR090W.S1","---"
"1775891_at","Saccharomyces cerevisiae","YHL039W","YHL039W.S1","---"
"1775892_at","Saccharomyces cerevisiae","YIL077C","YIL077C.S1","---"
"1775893_at","Saccharomyces cerevisiae","YMR232W","YMR232W.S1","FUS2"
"1775894_at","Schizosaccharomyces pombe","SPAC17A2.04c","SPAC17A2.04c.S1","---"
"1775895_at","Schizosaccharomyces pombe","SPAC22H10.10","SPAC22H10.10.S1","---"
"1775896_at","Schizosaccharomyces pombe","SPAC139.04c","SPAC139.04c.S1","---"
"1775897_at","Schizosaccharomyces pombe","SPBC13E7.02","SPBC13E7.02.S1","---"
"1775898_at","Schizosaccharomyces pombe","SPAC977.13c","SPAC977.13c.S1","---"
"1775899_at","Schizosaccharomyces pombe","SPAPB2B4.06","SPAPB2B4.06.S1","---"
"1775900_at","Schizosaccharomyces pombe","SPBC839.02","SPBC839.02.S1","---"
"1775901_at","Saccharomyces cerevisiae","YDL212W","YDL212W.S1","SHR3"
"1775902_at","Saccharomyces cerevisiae","YMR002W","YMR002W.S1","MIC17"
"1775903_at","Schizosaccharomyces pombe","SPAC10F6.07c","SPAC10F6.07c.S1","---"
"1775904_at","Saccharomyces cerevisiae","YMR136W","YMR136W.S1","GAT2"
"1775905_at","Schizosaccharomyces pombe","SPCC569.04","SPCC569.04.S1","---"
"1775906_at","Saccharomyces cerevisiae","YMR299C","YMR299C.S1","DYN3"
"1775907_at","Schizosaccharomyces pombe","SPBC8D2.07c","SPBC8D2.07c.S1","---"
"1775908_at","Schizosaccharomyces pombe","SPCC757.04","SPCC757.04.S1","---"
"1775909_at","Schizosaccharomyces pombe","SPAC22A12.14c","SPAC22A12.14c.S1","---"
"1775910_at","Saccharomyces cerevisiae","YDR116C","YDR116C.S1","MRPL1"
"1775911_at","Schizosaccharomyces pombe","SPAC15E1.05c","SPAC15E1.05c.S1","---"
"1775912_at","Saccharomyces cerevisiae","YIL111W","YIL111W.S1","COX5B"
"1775914_at","Schizosaccharomyces pombe","SPBC17A3.08","SPBC17A3.08.S1","---"
"1775915_at","Saccharomyces cerevisiae","YBR234C","YBR234C.S1","ARC40"
"1775916_at","Saccharomyces cerevisiae","YNL193W","YNL193W.S1","---"
"1775917_at","Saccharomyces cerevisiae","YNL239W","YNL239W.S1","LAP3"
"1775918_at","Saccharomyces cerevisiae","YER159C","YER159C.S1","BUR6"
"1775919_at","Saccharomyces cerevisiae","YJR125C","YJR125C.S1","ENT3"
"1775920_at","Schizosaccharomyces pombe","SPAC17A2.05","SPAC17A2.05.S1","---"
"1775921_at","Schizosaccharomyces pombe","SPCC1223.13","SPCC1223.13.S1","---"
"1775922_at","Saccharomyces cerevisiae","YMR041C","YMR041C.S1","ARA2"
"1775923_at","Schizosaccharomyces pombe","SPAC1952.15c","SPAC1952.15c.S1","---"
"1775924_at","Saccharomyces cerevisiae","YPL116W","YPL116W.S1","HOS3"
"1775925_at","Saccharomyces cerevisiae","YIL136W","YIL136W.S1","OM45"
"1775926_at","Saccharomyces cerevisiae","YJL179W","YJL179W.S1","PFD1"
"1775927_at","Saccharomyces cerevisiae","YDL107W","YDL107W.S1","MSS2"
"1775928_at","Saccharomyces cerevisiae","YDR226W","YDR226W.S1","ADK1"
"1775929_at","Schizosaccharomyces pombe","SPAC17A5.06","SPAC17A5.06.S1","---"
"1775930_at","Schizosaccharomyces pombe","SPBP18G5.03","SPBP18G5.03.S1","---"
"1775931_at","Schizosaccharomyces pombe","SPCC14G10.02","SPCC14G10.02.S1","---"
"1775932_at","Saccharomyces cerevisiae","YJL003W","YJL003W.S1","COX16"
"1775933_at","Saccharomyces cerevisiae","YLR333C","YLR333C.S1","RPS25B"
"1775934_at","Saccharomyces cerevisiae","YCR108C","YCR108C.S1","---"
"1775935_at","Saccharomyces cerevisiae","YPL271W","YPL271W.S1","ATP15"
"1775936_at","Schizosaccharomyces pombe","SPBC1539.06","SPBC1539.06.S1","---"
"1775937_at","Saccharomyces cerevisiae","YMR030W-A","YMR030W-A.S1","---"
"1775938_at","Schizosaccharomyces pombe","SPBC1683.09c","SPBC1683.09c.S1","---"
"1775939_at","Saccharomyces cerevisiae","YOL031C","YOL031C.S1","SIL1"
"1775940_at","Schizosaccharomyces pombe","SPBC18E5.03c","SPBC18E5.03c.S1","---"
"1775941_at","Schizosaccharomyces pombe","SPAC25H1.06","SPAC25H1.06.S1","---"
"1775943_at","Schizosaccharomyces pombe","SPBP23A10.06","SPBP23A10.06.S1","---"
"1775944_at","Saccharomyces cerevisiae","YOR367W","YOR367W.S1","SCP1"
"1775945_at","Schizosaccharomyces pombe","SPAC8F11.05c","SPAC8F11.05c.S1","---"
"1775946_at","Schizosaccharomyces pombe","SPAC9.02c","SPAC9.02c.S1","---"
"1775947_at","Schizosaccharomyces pombe","SPAC977.10","SPAC977.10.S1","---"
"1775948_at","Saccharomyces cerevisiae","YBR166C","YBR166C.S1","TYR1"
"1775949_at","Saccharomyces cerevisiae","YHR047C","YHR047C.S1","AAP1"
"1775950_at","Schizosaccharomyces pombe","SPBC609.05","SPBC609.05.S1","---"
"1775951_at","Saccharomyces cerevisiae","YGR058W","YGR058W.S1","PEF1"
"1775952_at","Saccharomyces cerevisiae","YPR159W","YPR159W.S1","KRE6"
"1775953_s_at","Saccharomyces cerevisiae","YNL034W","YNL034W.S1","---"
"1775954_at","Schizosaccharomyces pombe","SPBC365.03c","SPBC365.03c.S1","---"
"1775955_at","Schizosaccharomyces pombe","SPAC750.01","SPAC750.01.S1","---"
"1775956_at","Saccharomyces cerevisiae","YGL140C","YGL140C.S1","---"
