"Probe Set ID","Species Scientific Name","Transcript ID(Array Design)","Representative Public ID","Gene Symbol"
"1769308_at","Saccharomyces cerevisiae","YKR009C","YKR009C.S1","FOX2"
"1769309_at","Schizosaccharomyces pombe","SPBC1105.11c","SPBC1105.11c.S1","---"
"1769310_at","Schizosaccharomyces pombe","SPCC18.05c","SPCC18.05c.S1","---"
"1769311_at","Saccharomyces cerevisiae","YDL157C","YDL157C.S1","---"
"1769312_at","Saccharomyces cerevisiae","YER059W","YER059W.S1","PCL6"
"1769313_at","Saccharomyces cerevisiae","YGL059W","YGL059W.S1","---"
"1769314_at","Saccharomyces cerevisiae","YDR481C","YDR481C.S1","PHO8"
"1769315_at","Schizosaccharomyces pombe","SPBC32H8.10","SPBC32H8.10.S1","---"
"1769316_s_at","Schizosaccharomyces pombe","SPAC750.05c","SPAC750.05c.S1","---"
"1769317_at","Saccharomyces cerevisiae","YML113W","YML113W.S1","DAT1"
"1769318_at","Schizosaccharomyces pombe","SPCC830.06","SPCC830.06.S1","---"
"1769319_at","Saccharomyces cerevisiae","YIL157C","YIL157C.S1","COA1"
"1769320_at","Saccharomyces cerevisiae","YPR003C","YPR003C.S1","---"
"1769321_at","Saccharomyces cerevisiae","YNR074C","YNR074C.S1","AIF1"
"1769322_s_at","Saccharomyces cerevisiae","YLR154C-H","YLR154C-H.S1","---"
"1769323_at","Saccharomyces cerevisiae","YKL012W","YKL012W.S1","PRP40"
"1769324_at","Saccharomyces cerevisiae","YJL147C","YJL147C.S1","---"
"1769325_at","Saccharomyces cerevisiae","YDL216C","YDL216C.S1","RRI1"
"1769326_at","Schizosaccharomyces pombe","SPBC1105.05","SPBC1105.05.S1","---"
"1769327_at","Schizosaccharomyces pombe","SPCC1840.01c","SPCC1840.01c.S1","---"
"1769328_at","Schizosaccharomyces pombe","SPCC895.03c","SPCC895.03c.S1","---"
"1769329_at","Saccharomyces cerevisiae","YNL320W","YNL320W.S1","---"
"1769330_at","Schizosaccharomyces pombe","SPBC428.08c","SPBC428.08c.S1","---"
"1769331_at","Saccharomyces cerevisiae","YHL007C","YHL007C.S1","STE20"
"1769333_at","Saccharomyces cerevisiae","YPL223C","YPL223C.S1","GRE1"
"1769334_at","Schizosaccharomyces pombe","SPBC11C11.06c","SPBC11C11.06c.S1","---"
"1769335_at","Saccharomyces cerevisiae","YKL138C","YKL138C.S1","MRPL31"
"1769336_at","Saccharomyces cerevisiae","YNL126W","YNL126W.S1","SPC98"
"1769337_at","Schizosaccharomyces pombe","SPBC83.16c","SPBC83.16c.S1","---"
"1769338_at","Saccharomyces cerevisiae","YKL055C","YKL055C.S1","OAR1"
"1769339_at","Saccharomyces cerevisiae","YML035C","YML035C.S1","AMD1"
"1769340_at","Schizosaccharomyces pombe","SPAC24C9.16c","SPAC24C9.16c.S1","---"
"1769341_at","Saccharomyces cerevisiae","YER087C-B","YER087C-B.S1","SBH1"
"1769342_at","Saccharomyces cerevisiae","YIL160C","YIL160C.S1","POT1"
"1769343_at","Schizosaccharomyces pombe","SPAPB8E5.05","SPAPB8E5.05.S1","---"
"1769344_at","Saccharomyces cerevisiae","YLR050C","YLR050C.S1","---"
"1769345_at","Saccharomyces cerevisiae","YOR037W","YOR037W.S1","CYC2"
"1769346_at","Saccharomyces cerevisiae","YOL008W","YOL008W.S1","COQ10"
"1769347_at","Schizosaccharomyces pombe","SPCC1235.01","SPCC1235.01.S1","---"
"1769348_at","Schizosaccharomyces pombe","SPAC1296.05c","SPAC1296.05c.S1","---"
"1769349_s_at","Saccharomyces cerevisiae","YOR072W-B","YOR072W-B.S1","---"
"1769350_at","Saccharomyces cerevisiae","YPL253C","YPL253C.S1","VIK1"
"1769351_at","Schizosaccharomyces pombe","SPAC4F10.20","SPAC4F10.20.S1","---"
"1769352_at","Saccharomyces cerevisiae","YDL048C","YDL048C.S1","STP4"
"1769353_at","Schizosaccharomyces pombe","SPBC2D10.12","SPBC2D10.12.S1","---"
"1769354_at","Schizosaccharomyces pombe","SPCC1183.09c","SPCC1183.09c.S1","---"
"1769355_at","Schizosaccharomyces pombe","SPBC56F2.02","SPBC56F2.02.S1","---"
"1769356_at","Saccharomyces cerevisiae","YDR056C","YDR056C.S1","---"
"1769357_at","Schizosaccharomyces pombe","SPBC21B10.08c","SPBC21B10.08c.S1","---"
"1769358_at","Saccharomyces cerevisiae","YNL083W","YNL083W.S1","SAL1"
"1769359_at","Saccharomyces cerevisiae","YCR081W","YCR081W.S1","SRB8"
"1769360_at","Schizosaccharomyces pombe","SPBP22H7.03","SPBP22H7.03.S1","---"
"1769361_at","Saccharomyces cerevisiae","YDL159W","YDL159W.S1","STE7"
"1769362_at","Saccharomyces cerevisiae","YCR024C-B","YCR024C-B.S1","---"
"1769363_at","Schizosaccharomyces pombe","SPAC1B3.14","SPAC1B3.14.S1","---"
"1769364_at","Schizosaccharomyces pombe","SPAC10F6.12c","SPAC10F6.12c.S1","---"
"1769365_at","Saccharomyces cerevisiae","YPL154C","YPL154C.S1","PEP4"
"1769366_at","Saccharomyces cerevisiae","YDR020C","YDR020C.S1","---"
"1769367_at","Schizosaccharomyces pombe","SPAC13G7.06","SPAC13G7.06.S1","---"
"1769368_at","Saccharomyces cerevisiae","YOR290C","YOR290C.S1","SNF2"
"1769369_at","Schizosaccharomyces pombe","SPCC10H11.01","SPCC10H11.01.S1","---"
"1769370_at","Schizosaccharomyces pombe","SPAC17A5.12","SPAC17A5.12.S1","---"
"1769371_at","Saccharomyces cerevisiae","YGR267C","YGR267C.S1","FOL2"
"1769372_at","Schizosaccharomyces pombe","SPAC1039.08","SPAC1039.08.S1","---"
"1769373_at","Saccharomyces cerevisiae","YNL216W","YNL216W.S1","RAP1"
"1769374_at","Saccharomyces cerevisiae","YFL034C-B","YFL034C-B.S1","MOB2"
"1769375_at","Saccharomyces cerevisiae","YEL031W","YEL031W.S1","SPF1"
"1769376_at","Schizosaccharomyces pombe","SPAC23G3.11","SPAC23G3.11.S1","---"
"1769377_at","Saccharomyces cerevisiae","YBR238C","YBR238C.S1","---"
"1769378_at","Saccharomyces cerevisiae","YFL045C","YFL045C.S1","SEC53"
"1769379_at","Saccharomyces cerevisiae","YGL222C","YGL222C.S1","EDC1"
"1769380_at","Schizosaccharomyces pombe","SPBC20F10.07","SPBC20F10.07.S1","---"
"1769381_at","Schizosaccharomyces pombe","SPBC21H7.05","SPBC21H7.05.S1","---"
"1769382_at","Schizosaccharomyces pombe","SPBC16A3.11","SPBC16A3.11.S1","---"
"1769383_at","Saccharomyces cerevisiae","YIR021W","YIR021W.S1","MRS1"
"1769384_at","Saccharomyces cerevisiae","YHR014W","YHR014W.S1","SPO13"
"1769385_at","Saccharomyces cerevisiae","YEL006W","YEL006W.S1","YEA6"
"1769386_at","Schizosaccharomyces pombe","SPAC343.06c","SPAC343.06c.S1","---"
"1769387_at","Saccharomyces cerevisiae","YDL029W","YDL029W.S1","ARP2"
"1769388_at","Saccharomyces cerevisiae","YLR401C","YLR401C.S1","DUS3"
"1769389_at","Schizosaccharomyces pombe","SPBC17A3.05c","SPBC17A3.05c.S1","---"
"1769390_s_at","Saccharomyces cerevisiae","YDR447C","YDR447C.S1","RPS17A /// RPS17B"
"1769391_at","Schizosaccharomyces pombe","SPBC106.10","SPBC106.10.S1","---"
"1769392_at","Saccharomyces cerevisiae","YOR192C-C","YOR192C-C.S1","---"
"1769393_at","Schizosaccharomyces pombe","SPAC1039.07c","SPAC1039.07c.S1","---"
"1769394_at","Schizosaccharomyces pombe","SPBC651.07","SPBC651.07.S1","---"
"1769395_at","Saccharomyces cerevisiae","YER026C","YER026C.S1","CHO1"
"1769396_at","Schizosaccharomyces pombe","SPBC3F6.03","SPBC3F6.03.S1","---"
"1769397_s_at","Saccharomyces cerevisiae","YLR287C-A","YLR287C-A.S1","RPS30A /// RPS30B"
"1769398_at","Schizosaccharomyces pombe","SPAC806.02c","SPAC806.02c.S1","---"
"1769399_at","Schizosaccharomyces pombe","SPBC23G7.12c","SPBC23G7.12c.S1","---"
"1769400_at","Schizosaccharomyces pombe","SPBC1685.06","SPBC1685.06.S1","---"
"1769401_at","Schizosaccharomyces pombe","SPBC23E6.04c","SPBC23E6.04c.S1","---"
"1769402_at","Schizosaccharomyces pombe","SPCC825.04c","SPCC825.04c.S1","---"
"1769403_at","Saccharomyces cerevisiae","YKL195W","YKL195W.S1","MIA40"
"1769404_at","Schizosaccharomyces pombe","SPCC622.02","SPCC622.02.S1","---"
"1769405_at","Schizosaccharomyces pombe","SPBC215.15","SPBC215.15.S1","---"
"1769406_at","Saccharomyces cerevisiae","YDR144C","YDR144C.S1","MKC7"
"1769407_at","Saccharomyces cerevisiae","YDR439W","YDR439W.S1","LRS4"
"1769408_at","Schizosaccharomyces pombe","SPBC18E5.06","SPBC18E5.06.S1","---"
"1769409_at","Schizosaccharomyces pombe","SPBC646.07c","SPBC646.07c.S1","---"
"1769410_at","Schizosaccharomyces pombe","SPAC19G12.04","SPAC19G12.04.S1","---"
"1769411_at","Saccharomyces cerevisiae","YBR149W","YBR149W.S1","ARA1"
"1769412_at","Schizosaccharomyces pombe","SPAC15E1.07c","SPAC15E1.07c.S1","---"
"1769413_at","Schizosaccharomyces pombe","SPBPJ4664.01","SPBPJ4664.01.S1","---"
"1769414_at","Schizosaccharomyces pombe","SPAC31F12.01","SPAC31F12.01.S1","---"
"1769415_at","Schizosaccharomyces pombe","SPBC146.02","SPBC146.02.S1","---"
"1769416_at","Schizosaccharomyces pombe","SPBC4F6.04","SPBC4F6.04.S1","---"
"1769417_at","Schizosaccharomyces pombe","SPBC1709.13c","SPBC1709.13c.S1","---"
"1769418_at","Saccharomyces cerevisiae","YER114C","YER114C.S1","BOI2"
"1769419_at","Saccharomyces cerevisiae","YMR247C","YMR247C.S1","RKR1"
"1769420_at","Saccharomyces cerevisiae","YMR076C","YMR076C.S1","PDS5"
"1769421_at","Saccharomyces cerevisiae","YGR056W","YGR056W.S1","RSC1"
"1769422_at","Saccharomyces cerevisiae","YAL013W","YAL013W.S1","DEP1"
"1769423_at","Schizosaccharomyces pombe","SPBC1861.04c","SPBC1861.04c.S1","---"
"1769424_at","Schizosaccharomyces pombe","SPBC2A9.08c","SPBC2A9.08c.S1","---"
"1769425_at","Schizosaccharomyces pombe","SPAC19E9.02","SPAC19E9.02.S1","---"
"1769426_at","Saccharomyces cerevisiae","YPR002W","YPR002W.S1","PDH1"
"1769427_at","Schizosaccharomyces pombe","SPCC1259.01c","SPCC1259.01c.S1","---"
"1769428_at","Saccharomyces cerevisiae","YOR175C","YOR175C.S1","ALE1"
"1769430_at","Schizosaccharomyces pombe","SPCC191.06","SPCC191.06.S1","---"
"1769431_at","Saccharomyces cerevisiae","YDL167C","YDL167C.S1","NRP1"
"1769432_at","Schizosaccharomyces pombe","SPBC2G2.07c","SPBC2G2.07c.S1","---"
"1769433_at","Schizosaccharomyces pombe","SPCP25A2.03","SPCP25A2.03.S1","---"
"1769434_at","Saccharomyces cerevisiae","YDR465C","YDR465C.S1","RMT2"
"1769435_at","Saccharomyces cerevisiae","YJL201W","YJL201W.S1","ECM25"
"1769436_at","Schizosaccharomyces pombe","SPBC1734.15","SPBC1734.15.S1","---"
"1769437_at","Schizosaccharomyces pombe","SPAC3H5.06c","SPAC3H5.06c.S1","---"
"1769438_at","Schizosaccharomyces pombe","SPBC29A10.02","SPBC29A10.02.S1","---"
"1769439_at","Schizosaccharomyces pombe","SPAC1071.09c","SPAC1071.09c.S1","---"
"1769440_at","Schizosaccharomyces pombe","SPCC1795.10c","SPCC1795.10c.S1","---"
"1769442_at","Saccharomyces cerevisiae","YDR495C","YDR495C.S1","VPS3"
"1769443_at","Saccharomyces cerevisiae","YDR501W","YDR501W.S1","PLM2"
"1769444_at","Schizosaccharomyces pombe","SPBC660.17c","SPBC660.17c.S1","---"
"1769445_at","Schizosaccharomyces pombe","SPCC4G3.16","SPCC4G3.16.S1","---"
"1769446_at","Saccharomyces cerevisiae","YHL010C","YHL010C.S1","---"
"1769447_at","Schizosaccharomyces pombe","SPCC1840.04","SPCC1840.04.S1","---"
"1769448_at","Saccharomyces cerevisiae","YHR152W","YHR152W.S1","SPO12"
"1769449_at","Schizosaccharomyces pombe","SPCC830.04c","SPCC830.04c.S1","---"
"1769450_at","Saccharomyces cerevisiae","YER035W","YER035W.S1","EDC2"
"1769451_at","Saccharomyces cerevisiae","YHR002W","YHR002W.S1","LEU5"
"1769452_at","Saccharomyces cerevisiae","YPL020C","YPL020C.S1","ULP1"
"1769453_at","Schizosaccharomyces pombe","SPAC22E12.04","SPAC22E12.04.S1","---"
"1769454_at","Schizosaccharomyces pombe","SPAC823.11","SPAC823.11.S1","---"
"1769455_at","Saccharomyces cerevisiae","YLR286C","YLR286C.S1","CTS1"
"1769456_at","Saccharomyces cerevisiae","YKL061W","YKL061W.S1","---"
"1769457_at","Schizosaccharomyces pombe","SPBC557.03c","SPBC557.03c.S1","---"
"1769458_at","Schizosaccharomyces pombe","SPBC27.02c","SPBC27.02c.S1","---"
"1769459_at","Saccharomyces cerevisiae","YHR131C","YHR131C.S1","---"
"1769460_at","Saccharomyces cerevisiae","YJL185C","YJL185C.S1","---"
"1769461_at","Saccharomyces cerevisiae","YMR317W","YMR317W.S1","---"
"1769462_at","Saccharomyces cerevisiae","YIL125W","YIL125W.S1","KGD1"
"1769463_at","Saccharomyces cerevisiae","YPL065W","YPL065W.S1","VPS28"
"1769464_at","Saccharomyces cerevisiae","YGR130C","YGR130C.S1","---"
"1769465_at","Schizosaccharomyces pombe","SPAC1002.07c","SPAC1002.07c.S1","---"
"1769466_at","Saccharomyces cerevisiae","YDL049C","YDL049C.S1","KNH1"
"1769467_at","Saccharomyces cerevisiae","YBR065C","YBR065C.S1","ECM2"
"1769468_at","Saccharomyces cerevisiae","YJR082C","YJR082C.S1","EAF6"
"1769469_at","Schizosaccharomyces pombe","SPAC23D3.04c","SPAC23D3.04c.S1","---"
"1769470_at","Schizosaccharomyces pombe","SPAC30D11.12","SPAC30D11.12.S1","---"
"1769471_at","Schizosaccharomyces pombe","SPAC26F1.01","SPAC26F1.01.S1","---"
"1769472_at","Saccharomyces cerevisiae","YMR182C","YMR182C.S1","RGM1"
"1769473_at","Schizosaccharomyces pombe","SPAC4A8.09c","SPAC4A8.09c.S1","---"
"1769474_at","Saccharomyces cerevisiae","YPL264C","YPL264C.S1","---"
"1769475_at","Schizosaccharomyces pombe","SPAC17G6.11c","SPAC17G6.11c.S1","---"
"1769476_at","Schizosaccharomyces pombe","SPAC23G3.01","SPAC23G3.01.S1","---"
"1769477_at","Schizosaccharomyces pombe","SPCC5E4.10c","SPCC5E4.10c.S1","---"
"1769478_at","Saccharomyces cerevisiae","YPL199C","YPL199C.S1","---"
"1769479_at","Schizosaccharomyces pombe","SPCC550.04c","SPCC550.04c.S1","---"
"1769480_at","Schizosaccharomyces pombe","SPBC530.15c","SPBC530.15c.S1","---"
"1769481_at","Saccharomyces cerevisiae","YGR080W","YGR080W.S1","TWF1"
"1769482_at","Saccharomyces cerevisiae","YLR125W","YLR125W.S1","---"
"1769483_at","Schizosaccharomyces pombe","SPAC4D7.07c","SPAC4D7.07c.S1","---"
"1769484_at","Saccharomyces cerevisiae","YNL292W","YNL292W.S1","PUS4"
"1769485_s_at","Saccharomyces cerevisiae","YAR033W","YAR033W.S1","MST27 /// MST28"
"1769486_at","Schizosaccharomyces pombe","SPAC1F3.07c","SPAC1F3.07c.S1","---"
"1769487_at","Saccharomyces cerevisiae","YKL063C","YKL063C.S1","---"
"1769488_at","Schizosaccharomyces pombe","SPBC17G9.13c","SPBC17G9.13c.S1","---"
"1769489_at","Schizosaccharomyces pombe","SPCC1020.04c","SPCC1020.04c.S1","---"
"1769490_at","Schizosaccharomyces pombe","SPBC1683.07","SPBC1683.07.S1","---"
"1769491_at","Schizosaccharomyces pombe","SPBC17G9.06c","SPBC17G9.06c.S1","---"
"1769492_at","Schizosaccharomyces pombe","SPAC17A5.10","SPAC17A5.10.S1","---"
"1769493_at","Schizosaccharomyces pombe","SPAC19B12.05c","SPAC19B12.05c.S1","---"
"1769494_at","Schizosaccharomyces pombe","SPBC26H8.02c","SPBC26H8.02c.S1","---"
"1769495_at","Saccharomyces cerevisiae","YIL010W","YIL010W.S1","DOT5"
"1769496_at","Schizosaccharomyces pombe","SPAC1A6.11","SPAC1A6.11.S1","---"
"1769497_at","Schizosaccharomyces pombe","SPBC3D6.11c","SPBC3D6.11c.S1","---"
"1769498_at","Schizosaccharomyces pombe","SPAC8F11.03","SPAC8F11.03.S1","---"
"1769499_at","Schizosaccharomyces pombe","SPAC1002.20","SPAC1002.20.S1","---"
"1769500_at","Saccharomyces cerevisiae","YGR113W","YGR113W.S1","DAM1"
"1769501_at","Saccharomyces cerevisiae","YLR266C","YLR266C.S1","PDR8"
"1769502_at","Saccharomyces cerevisiae","YPL050C","YPL050C.S1","MNN9"
"1769503_at","Saccharomyces cerevisiae","YDR447C","YDR447C.S1","RPS17B"
"1769504_at","Saccharomyces cerevisiae","YML019W","YML019W.S1","OST6"
"1769505_at","Schizosaccharomyces pombe","SPAC13C5.02","SPAC13C5.02.S1","---"
"1769506_at","Saccharomyces cerevisiae","YKL166C","YKL166C.S1","TPK3"
"1769507_at","Schizosaccharomyces pombe","SPCC126.10","SPCC126.10.S1","---"
"1769508_at","Schizosaccharomyces pombe","SPBC16E9.14c","SPBC16E9.14c.S1","---"
"1769509_at","Schizosaccharomyces pombe","SPBC1271.05c","SPBC1271.05c.S1","---"
"1769510_at","Saccharomyces cerevisiae","YJR139C","YJR139C.S1","HOM6"
"1769511_at","Saccharomyces cerevisiae","YNR038W","YNR038W.S1","DBP6"
"1769512_at","Schizosaccharomyces pombe","SPBC660.12c","SPBC660.12c.S1","---"
"1769513_at","Schizosaccharomyces pombe","SPBC839.16","SPBC839.16.S1","---"
"1769514_at","Saccharomyces cerevisiae","YJL165C","YJL165C.S1","HAL5"
"1769515_at","Saccharomyces cerevisiae","YFL012W","YFL012W.S1","---"
"1769516_at","Saccharomyces cerevisiae","YDL086W","YDL086W.S1","---"
"1769517_at","Schizosaccharomyces pombe","SPAC9E9.07c","SPAC9E9.07c.S1","---"
"1769518_x_at","Saccharomyces cerevisiae","YIL176C","YIL176C.S1","PAU1"
"1769519_at","Saccharomyces cerevisiae","YKL096W","YKL096W.S1","CWP1"
"1769520_at","Saccharomyces cerevisiae","YLR064W","YLR064W.S1","---"
"1769521_at","Schizosaccharomyces pombe","SPBC15D4.09c","SPBC15D4.09c.S1","---"
"1769522_at","Schizosaccharomyces pombe","SPCC757.05c","SPCC757.05c.S1","---"
"1769523_at","Saccharomyces cerevisiae","YBR194W","YBR194W.S1","---"
"1769524_at","Schizosaccharomyces pombe","SPAC3F10.09","SPAC3F10.09.S1","---"
"1769525_at","Saccharomyces cerevisiae","YEL003W","YEL003W.S1","GIM4"
"1769526_at","Saccharomyces cerevisiae","YDR205W","YDR205W.S1","MSC2"
"1769527_at","Saccharomyces cerevisiae","YKL075C","YKL075C.S1","---"
"1769528_at","Saccharomyces cerevisiae","YHR198C","YHR198C.S1","---"
"1769529_s_at","Schizosaccharomyces pombe","SPCP20C8.03","SPCP20C8.03.S1","---"
"1769530_at","Schizosaccharomyces pombe","SPBC2D10.06","SPBC2D10.06.S1","---"
"1769531_at","Saccharomyces cerevisiae","YGL138C","YGL138C.S1","---"
"1769532_at","Schizosaccharomyces pombe","SPBC428.16c","SPBC428.16c.S1","---"
"1769533_at","Schizosaccharomyces pombe","SPBPB8B6.04c","SPBPB8B6.04c.S1","---"
"1769534_at","Saccharomyces cerevisiae","YMR212C","YMR212C.S1","EFR3"
"1769535_at","Schizosaccharomyces pombe","SPBC685.09","SPBC685.09.S1","---"
"1769536_at","Schizosaccharomyces pombe","SPBC1773.11c","SPBC1773.11c.S1","---"
"1769537_at","Schizosaccharomyces pombe","SPBC3B9.15c","SPBC3B9.15c.S1","---"
"1769538_at","Saccharomyces cerevisiae","YNR055C","YNR055C.S1","HOL1"
"1769539_at","Saccharomyces cerevisiae","YNL222W","YNL222W.S1","SSU72"
"1769540_at","Schizosaccharomyces pombe","SPBC336.02","SPBC336.02.S1","---"
"1769541_at","Saccharomyces cerevisiae","YPR042C","YPR042C.S1","PUF2"
"1769542_at","Schizosaccharomyces pombe","SPBC21H7.04","SPBC21H7.04.S1","---"
"1769543_at","Schizosaccharomyces pombe","SPBC1347.11","SPBC1347.11.S1","---"
"1769544_at","Saccharomyces cerevisiae","YLR149C","YLR149C.S1","---"
"1769545_at","Schizosaccharomyces pombe","SPBC16D10.06","SPBC16D10.06.S1","---"
"1769546_at","Schizosaccharomyces pombe","SPCC191.09c","SPCC191.09c.S1","---"
"1769547_at","Schizosaccharomyces pombe","SPBC543.10","SPBC543.10.S1","---"
"1769548_at","Schizosaccharomyces pombe","SPBC3H7.06c","SPBC3H7.06c.S1","---"
"1769549_at","Saccharomyces cerevisiae","YOR271C","YOR271C.S1","FSF1"
"1769550_at","Saccharomyces cerevisiae","YHR197W","YHR197W.S1","RIX1"
"1769551_at","Saccharomyces cerevisiae","YAL034C","YAL034C.S1","FUN19"
"1769552_s_at","Schizosaccharomyces pombe","SPBC1348.01","SPBC1348.01.S1","---"
"1769553_at","Schizosaccharomyces pombe","SPBC1105.12","SPBC1105.12.S1","---"
"1769554_at","Saccharomyces cerevisiae","YOR084W","YOR084W.S1","LPX1"
"1769555_at","Saccharomyces cerevisiae","YGL083W","YGL083W.S1","SCY1"
"1769556_at","Saccharomyces cerevisiae","YDR140W","YDR140W.S1","MTQ2"
"1769557_at","Saccharomyces cerevisiae","YMR216C","YMR216C.S1","SKY1"
"1769558_at","Saccharomyces cerevisiae","YJL042W","YJL042W.S1","MHP1"
"1769559_at","Schizosaccharomyces pombe","SPAC8C9.09c","SPAC8C9.09c.S1","---"
"1769560_at","Schizosaccharomyces pombe","SPBC215.13","SPBC215.13.S1","---"
"1769561_at","Schizosaccharomyces pombe","SPAC12G12.02","SPAC12G12.02.S1","---"
"1769562_at","Saccharomyces cerevisiae","YDR472W","YDR472W.S1","TRS31"
"1769563_at","Schizosaccharomyces pombe","SPBC2G2.12","SPBC2G2.12.S1","---"
"1769564_at","Saccharomyces cerevisiae","YDR207C","YDR207C.S1","UME6"
"1769565_at","Schizosaccharomyces pombe","SPBC25H2.14","SPBC25H2.14.S1","---"
"1769566_at","Saccharomyces cerevisiae","YIL075C","YIL075C.S1","RPN2"
"1769567_at","Schizosaccharomyces pombe","SPBC1773.17c","SPBC1773.17c.S1","---"
"1769568_at","Saccharomyces cerevisiae","YGR010W","YGR010W.S1","NMA2"
"1769569_at","Schizosaccharomyces pombe","SPCC548.04","SPCC548.04.S1","---"
"1769570_at","Saccharomyces cerevisiae","YDR245W","YDR245W.S1","MNN10"
"1769571_at","Saccharomyces cerevisiae","YDR473C","YDR473C.S1","PRP3"
"1769572_at","Schizosaccharomyces pombe","SPAC1006.06","SPAC1006.06.S1","---"
"1769573_at","Saccharomyces cerevisiae","YOR187W","YOR187W.S1","TUF1"
"1769575_at","Saccharomyces cerevisiae","YDR486C","YDR486C.S1","VPS60"
"1769576_at","Saccharomyces cerevisiae","YMR003W","YMR003W.S1","---"
"1769577_at","Schizosaccharomyces pombe","SPBC106.12c","SPBC106.12c.S1","---"
"1769578_at","Schizosaccharomyces pombe","SPAC3H1.04c","SPAC3H1.04c.S1","---"
"1769579_at","Saccharomyces cerevisiae","YGL121C","YGL121C.S1","GPG1"
"1769580_at","Saccharomyces cerevisiae","YJL186W","YJL186W.S1","MNN5"
"1769581_at","Schizosaccharomyces pombe","SPBC1604.15","SPBC1604.15.S1","---"
"1769583_at","Schizosaccharomyces pombe","SPBC19C7.05","SPBC19C7.05.S1","---"
"1769584_at","Schizosaccharomyces pombe","SPAC1782.01","SPAC1782.01.S1","---"
"1769585_at","Saccharomyces cerevisiae","YBR285W","YBR285W.S1","---"
"1769586_at","Saccharomyces cerevisiae","YOL028C","YOL028C.S1","YAP7"
"1769587_at","Saccharomyces cerevisiae","YMR220W","YMR220W.S1","ERG8"
"1769588_at","Schizosaccharomyces pombe","SPAC1071.12c","SPAC1071.12c.S1","---"
"1769589_at","Schizosaccharomyces pombe","SPAC2F3.03c","SPAC2F3.03c.S1","---"
"1769590_at","Schizosaccharomyces pombe","SPAC4F10.11","SPAC4F10.11.S1","---"
"1769591_at","Saccharomyces cerevisiae","YAR002W","YAR002W.S1","NUP60"
"1769592_at","Schizosaccharomyces pombe","SPBC30D10.15","SPBC30D10.15.S1","---"
"1769593_at","Schizosaccharomyces pombe","SPAC31G5.01","SPAC31G5.01.S1","---"
"1769594_at","Schizosaccharomyces pombe","SPAC139.03","SPAC139.03.S1","---"
"1769595_at","Schizosaccharomyces pombe","SPAC12G12.05c","SPAC12G12.05c.S1","---"
"1769596_at","Schizosaccharomyces pombe","SPCC191.07","SPCC191.07.S1","---"
"1769597_at","Saccharomyces cerevisiae","YMR049C","YMR049C.S1","ERB1"
"1769598_at","Saccharomyces cerevisiae","YOR069W","YOR069W.S1","VPS5"
"1769599_at","Saccharomyces cerevisiae","YDR479C","YDR479C.S1","PEX29"
"1769600_at","Saccharomyces cerevisiae","YKR038C","YKR038C.S1","KAE1"
"1769601_at","Saccharomyces cerevisiae","YPR106W","YPR106W.S1","ISR1"
"1769602_at","Saccharomyces cerevisiae","YBL031W","YBL031W.S1","SHE1"
"1769603_at","Saccharomyces cerevisiae","YOR124C","YOR124C.S1","UBP2"
"1769604_at","Saccharomyces cerevisiae","YDL149W","YDL149W.S1","ATG9"
"1769605_at","Schizosaccharomyces pombe","SPAC8E11.02c","SPAC8E11.02c.S1","---"
"1769606_at","Saccharomyces cerevisiae","YDR072C","YDR072C.S1","IPT1"
"1769607_at","Saccharomyces cerevisiae","YPL269W","YPL269W.S1","KAR9"
"1769608_at","Saccharomyces cerevisiae","YGL107C","YGL107C.S1","RMD9"
"1769609_at","Saccharomyces cerevisiae","YGR110W","YGR110W.S1","---"
"1769610_at","Saccharomyces cerevisiae","YOR394C-A","YOR394C-A.S1","---"
"1769611_at","Schizosaccharomyces pombe","SPAC3F10.03","SPAC3F10.03.S1","---"
"1769612_at","Schizosaccharomyces pombe","SPBC19C7.01","SPBC19C7.01.S1","---"
"1769613_at","Schizosaccharomyces pombe","SPCC320.12","SPCC320.12.S1","---"
"1769614_at","Saccharomyces cerevisiae","YNL291C","YNL291C.S1","MID1"
"1769615_at","Schizosaccharomyces pombe","SPAPJ691.03","SPAPJ691.03.S1","---"
"1769616_at","Schizosaccharomyces pombe","SPCC63.06","SPCC63.06.S1","---"
"1769617_at","Saccharomyces cerevisiae","YBR157C","YBR157C.S1","ICS2"
"1769618_at","Schizosaccharomyces pombe","SPAC323.08","SPAC323.08.S1","---"
"1769620_at","Saccharomyces cerevisiae","YKL192C","YKL192C.S1","ACP1"
"1769621_at","Saccharomyces cerevisiae","YKR035W-A","YKR035W-A.S1","DID2"
"1769622_at","Saccharomyces cerevisiae","YJL047C-A","YJL047C-A.S1","---"
"1769623_at","Schizosaccharomyces pombe","SPAC20H4.10","SPAC20H4.10.S1","---"
"1769624_at","Saccharomyces cerevisiae","YLR283W","YLR283W.S1","---"
"1769625_at","Schizosaccharomyces pombe","SPAC1142.05","SPAC1142.05.S1","---"
"1769626_at","Saccharomyces cerevisiae","YMR291W","YMR291W.S1","---"
"1769627_at","Saccharomyces cerevisiae","YLR151C","YLR151C.S1","PCD1"
"1769628_at","Saccharomyces cerevisiae","YOR165W","YOR165W.S1","SEY1"
"1769629_at","Schizosaccharomyces pombe","SPAP14E8.05c","SPAP14E8.05c.S1","---"
"1769630_at","Schizosaccharomyces pombe","SPAC227.13c","SPAC227.13c.S1","---"
